I_P  ,I_E,I_L  ,Q_E ,Q_P,Q_L  ,Labels
46630,6957,108020,49895,-101330,-115580,Spoofed
46631,6958,108021,49896,-101329,-115579,Spoofed
46632,6959,108022,49897,-101328,-115578,Spoofed
46633,6960,108023,49898,-101327,-115577,Spoofed
46634,6961,108024,49899,-101326,-115576,Spoofed
46635,6962,108025,49900,-101325,-115575,Spoofed
46636,6963,108026,49901,-101324,-115574,Spoofed
46637,6964,108027,49902,-101323,-115573,Spoofed
46638,6965,108028,49903,-101322,-115572,Spoofed
46639,6966,108029,49904,-101321,-115571,Spoofed
46640,6967,108030,49905,-101320,-115570,Spoofed
46641,6968,108031,49906,-101319,-115569,Spoofed
46642,6969,108032,49907,-101318,-115568,Spoofed
46643,6970,108033,49908,-101317,-115567,Spoofed
46644,6971,108034,49909,-101316,-115566,Spoofed
46645,6972,108035,49910,-101315,-115565,Spoofed
46646,6973,108036,49911,-101314,-115564,Spoofed
46647,6974,108037,49912,-101313,-115563,Spoofed
46648,6975,108038,49913,-101312,-115562,Spoofed
46649,6976,108039,49914,-101311,-115561,Spoofed
46650,6977,108040,49915,-101310,-115560,Spoofed
46651,6978,108041,49916,-101309,-115559,Spoofed
46652,6979,108042,49917,-101308,-115558,Spoofed
46653,6980,108043,49918,-101307,-115557,Spoofed
46654,6981,108044,49919,-101306,-115556,Spoofed
46655,6982,108045,49920,-101305,-115555,Spoofed
46656,6983,108046,49921,-101304,-115554,Spoofed
46657,6984,108047,49922,-101303,-115553,Spoofed
46658,6985,108048,49923,-101302,-115552,Spoofed
46659,6986,108049,49924,-101301,-115551,Spoofed
46660,6987,108050,49925,-101300,-115550,Spoofed
46661,6988,108051,49926,-101299,-115549,Spoofed
46662,6989,108052,49927,-101298,-115548,Spoofed
46663,6990,108053,49928,-101297,-115547,Spoofed
46664,6991,108054,49929,-101296,-115546,Spoofed
46665,6992,108055,49930,-101295,-115545,Spoofed
46666,6993,108056,49931,-101294,-115544,Spoofed
46667,6994,108057,49932,-101293,-115543,Spoofed
46668,6995,108058,49933,-101292,-115542,Spoofed
46669,6996,108059,49934,-101291,-115541,Spoofed
46670,6997,108060,49935,-101290,-115540,Spoofed
46671,6998,108061,49936,-101289,-115539,Spoofed
46672,6999,108062,49937,-101288,-115538,Spoofed
46673,7000,108063,49938,-101287,-115537,Spoofed
46674,7001,108064,49939,-101286,-115536,Spoofed
46675,7002,108065,49940,-101285,-115535,Spoofed
46676,7003,108066,49941,-101284,-115534,Spoofed
46677,7004,108067,49942,-101283,-115533,Spoofed
46678,7005,108068,49943,-101282,-115532,Spoofed
46679,7006,108069,49944,-101281,-115531,Spoofed
46680,7007,108070,49945,-101280,-115530,Spoofed
46681,7008,108071,49946,-101279,-115529,Spoofed
46682,7009,108072,49947,-101278,-115528,Spoofed
46683,7010,108073,49948,-101277,-115527,Spoofed
46684,7011,108074,49949,-101276,-115526,Spoofed
46685,7012,108075,49950,-101275,-115525,Spoofed
46686,7013,108076,49951,-101274,-115524,Spoofed
46687,7014,108077,49952,-101273,-115523,Spoofed
46688,7015,108078,49953,-101272,-115522,Spoofed
46689,7016,108079,49954,-101271,-115521,Spoofed
46690,7017,108080,49955,-101270,-115520,Spoofed
46691,7018,108081,49956,-101269,-115519,Spoofed
46692,7019,108082,49957,-101268,-115518,Spoofed
46693,7020,108083,49958,-101267,-115517,Spoofed
46694,7021,108084,49959,-101266,-115516,Spoofed
46695,7022,108085,49960,-101265,-115515,Spoofed
46696,7023,108086,49961,-101264,-115514,Spoofed
46697,7024,108087,49962,-101263,-115513,Spoofed
46698,7025,108088,49963,-101262,-115512,Spoofed
46699,7026,108089,49964,-101261,-115511,Spoofed
46700,7027,108090,49965,-101260,-115510,Spoofed
46701,7028,108091,49966,-101259,-115509,Spoofed
46702,7029,108092,49967,-101258,-115508,Spoofed
46703,7030,108093,49968,-101257,-115507,Spoofed
46704,7031,108094,49969,-101256,-115506,Spoofed
46705,7032,108095,49970,-101255,-115505,Spoofed
46706,7033,108096,49971,-101254,-115504,Spoofed
46707,7034,108097,49972,-101253,-115503,Spoofed
46708,7035,108098,49973,-101252,-115502,Spoofed
46709,7036,108099,49974,-101251,-115501,Spoofed
46710,7037,108100,49975,-101250,-115500,Spoofed
46711,7038,108101,49976,-101249,-115499,Spoofed
46712,7039,108102,49977,-101248,-115498,Spoofed
46713,7040,108103,49978,-101247,-115497,Spoofed
46714,7041,108104,49979,-101246,-115496,Spoofed
46715,7042,108105,49980,-101245,-115495,Spoofed
46716,7043,108106,49981,-101244,-115494,Spoofed
46717,7044,108107,49982,-101243,-115493,Spoofed
46718,7045,108108,49983,-101242,-115492,Spoofed
46719,7046,108109,49984,-101241,-115491,Spoofed
46720,7047,108110,49985,-101240,-115490,Spoofed
46721,7048,108111,49986,-101239,-115489,Spoofed
46722,7049,108112,49987,-101238,-115488,Spoofed
46723,7050,108113,49988,-101237,-115487,Spoofed
46724,7051,108114,49989,-101236,-115486,Spoofed
46725,7052,108115,49990,-101235,-115485,Spoofed
46726,7053,108116,49991,-101234,-115484,Spoofed
46727,7054,108117,49992,-101233,-115483,Spoofed
46728,7055,108118,49993,-101232,-115482,Spoofed
46729,7056,108119,49994,-101231,-115481,Spoofed
